What is your gender?,"Shakespeare famously said, that ""all is fair in love and war."" Do you agree with this?","Consider the following situation:
John is attracted to a woman named Rebecca. John's friend Mark is also interested in Rebecca. Rebecca is extremely beautiful. If John were to begin a relationship with Rebecca, all of his friends would be envious of him including Mark who has strong feelings for her. There is another problem. John knows that his family would not approve of Rebecca because of her skin color. John is unsure of how to proceed. Rebecca has already indicated that she is attracted to him and if John would like to begin a relationship with her all he has to do is tell her how he feels. 
What are your thoughts on this situation? (Be as detailed as you like in your response.)",What are some of the things that people should consider when pursuing a romantic relationship with someone else? (Be as detailed as you like in your response)
Male,Maybe,"Being honest, kind, and soft-spoken helps things through.","Take things slow, get a good read on someone. Date them but don't immediately commit to them.

Every coin has a 2nd face.

Friendship is always the first thing that comes."
Prefer not to say,Maybe,"bad thing, i don't like the way the world works now. People are currently: fighting because we are stupid, and always have a very stupid reason to mistreat others and make wars.","Well, respect and trust. Personally for me it takes a person to have a deep emotional connection with them."
Female,Yes,se eu fosse o John eu  falaria assim amor tenho uma coisa pra te dizer o que temos pra hoje é saudade kkkkk brincadeira se eu fosse o John eu falaria pra Rebeca assim Rebeca você é o sol que me ilumina os dias passam e eu não paro de pensar como seria os nossos momentos juntos cada dia sem vc é uma faca no meu coração sem você  sou um mendigo que fica na rua pedindo carinho como se eu fosse uma rosa que as pétalas estão caindo você é meu sonho de verão a luz do meu coração sou capaz de fazer qualquer coisa por você  eu emfretaria meus pais por vc  então rebeca ve a carta e se apaixona pela pessoa que escreveu a carta mas jonh fala que mark escreveu a carta a rebeca fica com o mark mas  mark descobre que jonh que escreveu a carta e mark vai até a casa de jonh e ele entra no quarto de jonh e jonh está dormindo até que mark o acorda e ele diz jonh vem levanta você não tem muito tempo a rebeca está indo embora mas john não entende porque mark está falando na rebeca e john fala mark  me deixa dormir você e a rebeca são perfeitos juntos e meus pais nunca aceitariam ela  então mark pega um taco e bate em jonh e mark fala acordaaaa cara se liga ela ama voce e não eu e john fala que isso mano quer me  matar seu maluco  e mark diz sim agora se veste rapido  e jonh se veste e tenta chegar ao lado de rebeca mas ele chega  tarde demais e o voou de rebeca já saiu faz tempo mas Rebeca não foi e jonh está sentado deprimido e triste mas rebeca grita o nome de jonh e jonh a ve com um vestido amarelo e cheio de bolinhas brancas com um chapel. branco e uma rosa vermelha eles correm e se beijam e mark fica feliz pelo seu amigo e mark acaba conhecendo  uma japonesa chamada angel ele no mercado ele fica tão fascinado com angel e pergunta se ela não gostaria de tomar um café angel aceita e  Angel fala todos os idiomas ela conta que nasceu no brasil em um orfanato e que seus pais do japão a mandaram pra lá durante a guerra ela fala como ela não tinha muitos amigos e a chamavam de ete por ter olhos puxadinhos  ela fala que só os livros eram sua companhia   ela sabe de tudo com os livros ela teve muito conhecimento e mark acaba se casando com angel e rebeca e jonh tem dois filhos e fim,mais importante é ser você mesmo desde o início. No final sua verdadeira personalidade sairá e essa pessoa pode se sentir enganada. Interesse-se pelas coisas que essa pessoa gosta e pergunte sobre elas. Olhe nos olhos quando conversam. falar o que voce fez no passado como você era pra que essa pessoa confie em você não dar golpe de casamento de ser astronauta seja sincero  não ficar parado vendo o mundo da lua ajudar nas tarefas se a mulher falar que não quer relação sexual agora respeitar não flertar com ninguém trabalhar e se o homem pedir ajuda a mulher ajudará também pq não é só o homem que vai ficar fazendo as coisas a mulher também vai fazer as coisas pro homem e é isso direitos iguais pra todos e não ser ignorante 
Male,No,"If John is attracted to her and knows that this realationship is what he really desires and the feelings are mutual - I think he should go ahead. In every circumstance it is most important to listen to one self. He should express himself in any shape or form he wants to. Including this relationship. Outside opinions that might hinder John to be himself should be ignored. If that is what he feels attracted to, called to or exited to pursue - then he should do it.","That both parties can completely be themselves. I also think that beeing open and able to listen and talk about one's feelings is also an important part. 
Communication and acceptance to put it short. "
Male,Yes,"I thiknk that, it shouldn't matter who thinks of your relationship due to a person's skin color and that love is indeed love, especially if the other person feels that way for the other. If they are willing to love each other, no matter whatpeople say or thibki of it, I'd say he should go for it and make his heart more loved.","People should always consider the plans and the timing n eing ready for a relationship meaning to have Trust, Royalty, Care, Kindness and that they are willing to let this person be there for them, have their back, protect them and love them to their hearts content an value their life to them. And if a relationship can work it out, no matter what happens or what they may have to get through every day, then you got yourself a beautiful relationship that can work with the others love."
Male,No,"I think John and Rebecca should do what they feel is right for them. If they are sure of what each feel for the other, friends and family shouldn't be judgemental. ",If both are into it. Is it completely consensual.
Male,Yes,"I don't think anything in particular. It doesn't move me that much... Everyone does what they want with their lives! If John wishes to declare himself, why not do so? If mark wishes to declare himself, why not do so? In the end, everyone is free to do what they want! Life and its paths will take their course according to the decisions made.","I don't know because I've never had a romantic relationship. In a detached way, I would say that you just have to follow your heart. What more can be said ? In fact, I don't care a bit! I feel so far from all these considerations that it has little impact on me. For me, life is a series of choices that depend on a lot of things and each of them leads us in a direction. There are so many possibilities that there is no ""pre-established"" pattern, just feelings in the moment!"
Male,No,"don't do it, bitches be crazy",if they are already in a relationship or not 
Prefer not to say,Maybe,John and Mark both like the girl and I think that John should talk to Mark about the following conundrum. He should talk to his family and try to state out why he likes the girl and try to convince them that his love for Rebecca is serious. If not working out just try again but in different words and manner.,"Who is your lover? Try to get to know them and try getting them to talk about family, never force them if not wanted. What do they like? Personally, I like to know what my girlfriend or boyfriend thinks, likes or what their hobbies are. "
Male,Yes,"If need be, burn bridges with everyone else in favor of Rebecca. She seems like a nice girl and jealousy and racism will only weigh John down. People are replaceable.",The feelings of yourself and the other person. That's it.
Male,Yes,"From my initial perspective, John loves Rebecca for who she was, unlike his parents. As well, there is a possible chance of infidelity if Mark still persists in being with Rebecca even if she is already with John.","What I want to consider when pursing romantic relationships with someone else are the content of characters, looka, emotional maturity and that they are at least the age of consent (if one is above the age of consent)"
Male,Yes,My thoughts are that John and mark are both interested in Rebecca the problem is Rebecca skin is different so her parents do not approve and that she is attracted to John and would like to be in a relationship ,You got to be nice  spend time together talk a lot respect be honest loyalty 
Female,No,"He definetely should be with Rebecca, since both of them have feelings for each other. At the same time John should be straightforward in telling Mark about that. In this situation, where two men fell for same woman, only she herself  can resolve everything. And because Rebecca's choice was John, there shouldn't be any grievances between two friends in the end. Speaking of parents's approval, if John  has heart to be with Rebecca then he should stand his ground, despite what his parents say.","First thing to be considered is feelings go both ways or one-sided?
Probably, second case is hopeless and it's simply useless to pursue any further.
If you are lucky and feeling is mutual, then should considered how much two people are comfortable with each other, how similar their value systems and life priorities."
Female,Maybe,"Well, if the family for John is an important enough link in his life, and he depends on it quite strongly, then it’s probably worth letting Rebecca go, because if John tells Rebecca about his feelings and starts dating her, then he may lose much more than gain. But if he is not so dependent on the opinion of the family, then he should talk to both his parents and Mark so that tragic circumstances do not develop. With the family, most likely, the problem will be solved quite simply, but with Mark you will have to negotiate. Now, if Rebecca were polyamorous ... And if Mark and John would not mind having one girlfriend for two, perhaps then they could arrange a triple relationship, the so-called ""love triangle"", only no one would get hurt. But this is a very rare situation.","First, you need to consider the wishes of the person with whom you want to have a romantic relationship. You never know, suddenly this person doesn’t like you, and then with your hints and tackles you will only harm him.

Secondly, you must consider and read the feelings of your partner. Talk to him on various topics, especially try to delve into the interests of a partner. For example, if he/she loves a certain literature, then you should understand it a bit so that you can keep up the conversation.

Thirdly, you need to talk with your partner directly about your desires. I believe that delaying the relationship will only harm those very relationships. We must not stand still, but move only forward! If the characters don’t converge, if nothing works out, you don’t need to hold on to each other, as if you don’t have anyone else, otherwise it will already be a toxic relationship."
Female,Yes,John should explain the situation with his parents with her if he's steeled his mind to proceed with her at all cost if she answers positively. If it comes to his friends he can only tone down how much he flaunts and avoid discussing Rebecca if it can be helped aroundMark.,I believe no one should be into relationships on less they're are looking forward to something future wise. It's not worth it to hop from ppl to ppl and very likely leave an unrepairable trail behind.
Male,Maybe,"If they have strong feelings for each other, regardless of skin color, proceed with the relationship and let no one stand in the way.","A strong romantic relationship is based on more than skin color or what a person sees. Much deeper, Beauty comes from the inside. Love is very important, trust, open communication, accept each other as they are, do not try to change the other person. Let no one ever come between each other."
Prefer not to say,Yes,"He should probably talk to Mark first, as if they are friends, they should be able to think of a compromise, if he decides to let Mark have Rebecca, then it's pretty much as si ple as that, but if they talk it out to a point where John would get to make the move on Rebecca, he should try talking to his family, but overall, it's his decision, and if his family doesn't approve and badgers him, in life, you can always cut lose the people you don't want to hang out with,  and he doesn't have to be close with his family(all be it weather that's a good or bad thing) and he doesn't need anyone's approval for his own feelings.","If both of you love eachother, you shouldn't have to have the exact same interests or opinions. If you and your partner, say, get into an argument, if you really cars about eachother, you should be able to find a compromise and forgive eachother, then forget an argument. You don't always have to like the same things, you can do things you like, and you can do things your partner does. If you can't work together or try to make both people as happy as possible while still doing the things you and/or your partner enjoy, it's a good relationship."
Male,Maybe,"I think John should let her go, it doesn’t seem like it would be healthy for them to get in a relationship.","Being careful i suppose, it’s always good to be extra careful."
Male,No,"It doesn't bother me, whether the individual is of color or not, her attitude counts more than the image she carries, I personally like it
women with brown and white skin. I will only respect the decision that she has.",I have never been able to have a relationship with a person. I am in love with a person but it is difficult for me to relate because I am not sure if he already has another or not.
Male,Maybe,"There shouldn't be any concern if John's friends, including Mark, become envious of John and Rebecca starting a relationship. Neither John nor Rebecca owe anything to John's friends. It's challenging to fully speak on the matter of race without knowing the races of John and Rebecca. Those details would inform the racial dynamic.","Relationship goals, age differences (if any), and living distances from each other, to name a few."
Other,Maybe,"There is nothing morally wrong with the situation ! He should be able to pursue a relationship regardless of his family bias, and should be able to live his life without his friends bringing him down","That what they want, and what their partner wants align. That both people can hold up their responsibilities in a relationship, so it doesn't hurt them or others "
Male,Yes,John will have to decide what relationships are most important to him,"moral character, attraction, life goals"
Male,No,john should tell her no matter the adversity that's when you know the goal is near.,"that the other person may have a different opinion or interests and that they may be completely different from us, and in extreme situations may be unpredictable. We will never know anyone 100%"
Female,No,"This is a difficult situation, but I feel there are two directions that John could go depending on the situation. Either he follows his heart and date Rebecca despite what others think and work things out with his friends (communication is important in any kind of relationship afterall). Or if the divide becomes too much between him and his friends as a result, John should consider finding someone else to date who wouldn't create this problem (intentionally or not).","It really depends on the person, since we all have different tastes. But I think there are a few things that are essential to make healthy relationship. First is to choose someone who is accepting, empathetic and understanding of you, even for you flaws or unusual quirks. It's also ideal to choose someone who brings out the best in you, and is supportive of your dreams and way of life. Of course we can't find the perfect partner, but we can choose someone who loves us despite our differences, and support each other despite those differences. If your partner can't fulfill these, then there is good chance that it wasn't meant to be. A strong relationship is built on acceptance, empathy, and communication."
Male,Maybe,"First, John should talk to his friends about his feelings, especially Mark. Afterward, if they agree to support his relationship, then John should pursue Rebecca, regardless of how his family feels, as they should be supportive of whoever he chooses to love.","Consider the needs of your partner.
What they like and dislike.
Be open with each other."
Female,Maybe,John should get with Rebecca ,Familiarity level. My current boyfriend I’ve known since we both were kids. That definitely helps. 
Female,Maybe,"Well, John must mention that he wants to have a relationship with Rebecca, John must mention what the family thinks, and what will happen to friends if they start their relationship, and mention that he doesn't care what happens, but Rebecca, and Jonh must know all that and does she know if she would dare to endure all those adversities","attentive, thoughtful, who supports me and who is tolerant"
Male,Maybe,John should go for it.,"Be cautious of the people you date, you just might never know what kind of person they are."
Male,No,"If Jon is only attracted to Rebecca, but not in love with her, then he may not care as much about her skin color and would not hesitate to pursue a relationship with her if he truly loves her.","Some of the things that people should consider when pursuing a romantic relationship with someone else include:
Compatibility: whether the two people are compatible with each other, share values, dreams, and interests.
Reliability: whether the person is proactive and invested in the relationship, trustworthy and reliable.
Mutual respect: whether the person treats you well, respects you, and is willing to listen to your opinions.
Conflict resolution skills: whether the person has the ability to resolve issues and conflicts in the relationship in a healthy and effective way.
Future awareness: whether the two people share future plans and goals, and whether they can support each other to achieve those goals.
Adaptability: Sometimes, change happens and your partner will have to adapt to it. Whether the person can adapt to unexpected changes in the relationship.
Acceptance: Whether the person accepts and loves you despite your minor flaws.
These are just some basic factors, but everyone has their own individual selection and considerations when pursuing a romantic relationship with someone they like."
Other,Yes,"He should pursue it, even if his family dissaproves. throughout life and as you age, you should be able to choose who   gets to be a part of your life",just be your best authentic self rather than puting on a persona that isn't you as a prrson
Female,No,"John shouldn't care what anyone thinks of Rebecca, and go for it if they're both consenting and aware of the situation","How they treat the opposite gender. For women, they should make sure they see how a man treats his sisters/mother, and for men, how a woman treats her brothers/father. It's a big indicator to how they'll treat you."
Prefer not to say,Yes,"I think in regards to Johns family, to judge someone based off of their skin colour isn't a very good bias to have towards anyone. I would have to know the whole situation, really. Johns current relationship with his family, how willing he is to get together with Rebecca, even if that might potentially mean severing ties with his family, or at the very least, he should talk to them about it. ","I feel like the key things that might be of interest are, First, how do you feel with this person? If you feel nervous constantly, or anxious around them, you might not want to pursue a romantic relationship with them. If you feel like you could spend the rest of your life with them, that's also good. But really, you should try and always consider the other persons feelings, and try to avoid miscommunication. "
Male,Yes,"They both get Rebecca make it a threesome, They will all love each other in the end.","Always buy a condom, and be fair to your partner"
Male,No,Well every one should go truck themselves becse Rebecca is now johns,Go easy and don't rush into a relationship 
Prefer not to say,No,"Para empezar cuando se trata amigos teniendo sentimientos por la misma persona y en este caso, saliendo con ella, yo creo que es fundamental tener en cuenta los sentimientos y el respeto mutuo entre todos los integrantes.
Si los amigos de John son realmente sus amigos seguirán con el a pesar de los celos, que esperemos sean pasajero.
Siento que John debería tener una relación con Rebbeca si realmente su amor es mutuo, a pesar de los problemas y tratar de solucionarlos juntos.","Todo depende de la persona, pero en mi caso yo buscaría alguien quien quiera una relación sana y sería, no necesariamente con la intención del matrimonio, pero si alguien quien se comprometa a pesar del tiempo."
Female,No,I think John should tell Rebecca how he feels. If he feels that there is a strong connection between him and Rebecca then the feelings of those who would have negative opinions of his decision shouldn’t matter. If the people with these negative views truly care about John they should also consider what would make John happy and race or feelings of envy will decrease ,"What do you like about them and how do they make you feel are the to big questions when initially pursuing a romantic relationship but the more important questions arise when you get into a relationship and get to know each other better like are our love languages compatible and if not are they willing to adapt to fulfill your love language and are u will to adapt to fulfil theirs, does this persons long term future align with mine for example, do they want to have children, and where do they want to live."
Male,Yes,I believe that approval from the family is not important. It is important that you love. And the opinion of others is no longer relevant.,"The very attitude, trust, love, respect"
Male,Maybe,"I think that Jonh and Mark should talk about it, make their fellings clear and express them with the other or it could end very bad for both of them, I also think that Jonh and Rebecca should start dating stead of beginning a relationship because they have to know each other better, the skin color is only a physical characteristic of a person and doesn’t affect the being of a person","They have to find a balance between themselves and the other, a healthy person take care of themselves to be able to take care of the other, it could be frustrating if it’s only the other person and never themselves "
Male,Yes,"John doesn't need anyone's permission, he can relate to Rebecca no matter what they think of him.","You must know if the love is reciprocated, if not, you just need to wish this person the best and let them go."
Female,Maybe,"It's a tough spot to be in, but sadly, social pressure can do more than your own feelings.","Care for each other, their feelings, their likes and dislikes, if they had something that can trigger something bad for the other, empathy, and support in tough times."
Prefer not to say,Yes,"Keep it going regardless if he lover her, ",Just consider the other person as much as you can
Male,No,"I think John should go for the relationship with Rebecca. Nevertheless, I am not sure the relationship between Mark and John, are they like best buddies? Is Mark a truly valuable friend to John? And does John knows about Mark's feeling towards Rebecca? In any case, if dating Rebecca means losing the best and very valuable friend, then I think John should reconsider it, as least he should talk to Mark and try something before jumping into a relationship with Rebecca. ","Other than appearance, I would say personality, common interests, and finance. "
Other,Yes,"I would tell John to tell her how he feels but if they were to start a relationship, to keep it on the down low for a bit. I’d tell John to see if his friends were good with it  after the relationship started by testing the water with Rebecca while the friends are around. Real friends would want you to be happy. As for Johns parents, I’d tell them about 6 months after the relationship started. Tell them he found a girl, but slowly add more details about her as time goes on. Then after a year of them knowing about her, id invite her over.  If they still disapprove, I’d remind them about any good qualities I told them about. If they still don’t approve, well they’ll need to learn to deal with the relationship. ","I look for things like how they treat their parents, friends, animals, and strangers. I also look for good habits, like some form of art or skating. Basically I look what’s in the book than what the cover looks like. "
Female,Maybe,"If John truly likes Rebecca and sees a nice relationship ahead, he should go for it despite the adversities presented. So long he and Rebecca truly love and support each other (and of course meet all general requirements of being able to see one another, those relating to factors such as age, potential pathways, etc.), the opinions of outsiders is not something that should matter all too much.","Relationships are about supporting your partner(s) and respecting each other no matter what. When entering a romantic relationship with someone else, it is important to recognize that you must be able to accept them as who they are, as well as what their general goals and aspirations are. But it’s also crucial to note that relationships can help with character growth, and though romantic relationships shouldn’t be made just for that, growth is always involved."
Male,Yes,John should tell Rebecca that : I'm in love with you! (and take the initiative to date each other),interpersonal relationship 、Safety 、attitude behavior style
Male,Maybe,"In this situation, John would just tell Rebecca that he's family won't allow him to love Rebecca because of her skin color.",Ask them how there day has been or what they like to do.
Male,Maybe,"I think John's family should be more open minded. Understand that skin color does not matter and learn to accept new ways. John and Rebecca have only one life where they have an opportunity to be together. The parents already have their chance and good for them, so why not let John and Rebecca be happy. The love between the two should not be overcome by closed-minded opinions that were definitely influenced in some manner of form. It would be such a sad waste of God's mysterious and brilliant talent as match maker.",They should consider their partner's own goals in life and freedom in living their own life style.
Male,Yes,"I'm no writer, but the idea of two sides against one is very intriguing for a love story involving racism and envious intent among each other. It would be fascinating to know what all sides of the story would conclude of the initial fate of John's feelings toward Rebecca with all eyes on how the other will react.

It is a fascinating concept to settle on for a story in mind.","To be honest, I'm not looking for love. So I don't have any advice for this sort of stuff."
Male,Maybe,"Is love a good enough reason to knowingly hurt others? In an ideal world, it probably is? I think if this were a real situation, more things than just ""love"" would have to be weighed against each other.

John's decision should probably be determined by how much he values certain aspects of his life. How valuable are friendship, his family's opinion, beauty in a partner, prestige among friends to him? If he finds that enough of these factors point to him pursuing the relationship and is willing to take risks, then he will probably make a move to be with Rebecca. It is true that people in his life will react negatively to this, but the course of John's life shouldn't be dictated solely by the wants of others.

One question could be: would Mark extend the same courtesy to John if he were in his place? Would he worry about how his actions affect John? If John knew the answers to these questions, should that knowledge affect his own choice? What is John's character? Is he prideful, vain, or malicious? These traits could affect his choice.

John should probably understand that he could be on the other side of a situation like this one and be prepared to accept that he may be the ""victim"" then, even as he is the antagonist/villain in this one. That might be one of the things he can learn from this.",Probably common life goals and mutual interest?
Male,No,"In my personal opinion, if John and Rebecca have mutual feelings, they should begin a relationship, no matter  the consequences in current situation. ""Restrictions"" seem unreasonable to follow here.","Safety, finances, opinion on children, responsibility, goals, borders, differences, compatibility. Too many to list, maybe."
Prefer not to say,No,"As Rebecca has already signaled her interest, it is okay for John to initiate a relationship. The situation is unfortunate for Mark, but unless she had also previously expressed interest in him this shouldn't be a factor. And what John's family think of Rebecca's skin color should be ignored, they will just have to get over it.","Compatibility, will it be possible for them to live together happily in the long term. It shouldn't be rushed into."
Female,Maybe,"Well, if John and Rebecca feel the same way, I don't think there are problems in their relationship, even if their parents don't accept their relationship, they don't have the right to interfere in their son's life even though they are his parents, just Because they don't like the color of Rebecca's skin, John's parents don't have the right to choose their son's mate, and
Even though Mark likes Rebecca, he has to learn to get over her and let her live her quiet life.","That is a mentally mature person, that is respectful and sensitive, honest, amusing, independent, empathetic and physically affectionate.
Más sobre el texto fuenteSe requiere el texto fuente para obtener información adicional sobre la traducción
Enviar comentarios
Paneles laterales"
Female,Yes,He should express himself love is love ,In a good relationship people should feel safe and not like they have to lie about things
Female,No,He should talk about it with his friend and with his parents to say that he loves Rebecca and begin a relationship with her if he thinks she is the woman of his life.,"This people should consider the feelings, the way to see the world, the decisions and the freedom of the other."
Female,Maybe,"Hm... I think, situation is sound relationship.","I am sure the relationship with someone make me normal, beacuse for reason, I haven't had relationship with someone, but I accept a relationship."
Male,Maybe,"John shouldnt care about what his family thinks, if he loves someone he should just go for it. So yeah i agree, he should just tell her how he feels.","They should consider if the partner really IS the person they want to spend the time with.
They should consider how long they want the relationship to last."
Male,Maybe,John has to tell her how he feels,Tell what do you think about your feeling with your partner and other things in general
Male,No,"John should begin a relationship with Rebecca. Skin color is not relevant if you are in love with someone. Family is important but shall not rule about who do you love. John and Rebecca have to talk to Mark. As I understand, Rebecca has no strong feelings for Mark. She should tell him that. It's impossible to solve the rhe situation without hurting the feelings of anyone. So I think this is the best possible way to cope with the situation.",Don't think to much about what people might say about the relationship. It doesn't matter who doe you love. You and your partner are most important.
Male,Maybe,Mark should tell her his feelings otherwise it just build up over time. If john truly loves her then his familys aproval is not inportant.,Intress and personality.
Male,No,"John should begin a relationship with Rebecca because of their mutual feelings for each other, whilst Mark's feelings are not reciprocated. In terms of the family problems, as long as John and Rebecca's relationship is strong, there is less need for the family's consent for the relationship to take place, however this depends on how important family is to John. John's family's backward view shouldn't stop him from having a relationship with anyone. Therefore John should start a relationship with Rebecca, in almost every scenario. ","They should think of what they want, but also what they offer in return. They should reflect on how their personal goals, beliefs, etc will be effected by a potential relationship and how it will help or hinder them as well as considering the personal sacrifices that come from starting a relationship."
Male,No,"This is his choice and only his, if she is a good person, then he should not doubt.","they should be responsible and treat each other the way they would like to be treated themselves. I think, if these points are followed, there is a great chance of success in a relationship."
Female,No,"John probably has a superficial view of life in general. If we look deeply, John's purpose of life is just a self-satisfaction, enjoyment (one of which is Rebecca) and pleasing himself. John's a true hedonist, even though he wouldn't call himself like that. He think he's doing good. He doesn't really love Rebecca (although he is convinced he DOES), he loves himself, and for this he needs Rebecca, because she makes him feel happy, and her beauty, her actions are pleasant to John. Besides, John's parents and friends don't approve him dating Rebecca. Like someone said, ""if love makes a least one person in the world feel bad, then it's not love"". Not to mention subordinating the will of parents, as is customary in conservative (read: the most sensible and truly minor) communities.
I consider this whole situation as idle and not worth all this attention, because it cannot be explained to a person without a proper understanding of who he is and what's the purpose of his life. If John is convinced that nothing is going to happen after his death, or maybe he will ""reincarnate"" and won't remember any of his ""previous life"", then what's all the fuss about? Why bother loving someone if they (or you) will die? Or why bother about other people's feelings? This modern atheistic world's philosophy is absurd, this is why you won't find the right solution of this situation without understanding how this world TRULY works.

""Kirillov, if... if you could get rid of your dreadful fancies and give up your atheistic ravings... oh, what a man you'd be, Kirillov!""","""love is not about two people looking at each other, it's about two people looking in the same direction""
therefore, you and your beloved one should have the same worldview (if you don't want to break up in the end)"
Other,Maybe,"John should just tell Rebecca his feelings if he wants to start a relationship, and other people shouldn't stop him if he wants to.","Make sure it is a healthy relationship and both you and your partner are aware of each other's boundraries. And as long as you aren't hurting you or anyone else, you do you."
Male,Maybe,"Well that is difficult to respond,
I think john should still confess
His family would have to accept his feeling regarding her color
And his friend, as his friend should still consider being friends with john if he is a good friend.
It wont be smooth sailing, but it will get better as time moves on.","I don't know since i've never been in one yet but i know that you need to be in a relationship where you are both comfortable, a relationship where is clean and non toxic.
Not saying perfection, im saying that the partner you wish to be with doesnt has to be a lair
A realationship where you both love eachother and flame may never die."
Male,No,"Talk to anybody about your concerns, nothing helps more as truly open conversation where everybody can tell how she/he feels and what the situation means to one. But in the end, always listen to what your gut feel is telling you - do not decide things about love and relationships rational with your brain, we kinda lost what we are here for - spread love and be kind with everybody! Even mark will understand at some day that he doesn't need to be angry with John when it is truly Rebecca's decision to whom she is attracted to! If John will not learn that - then you should get new friends!","Can you really love yourself first? Because, if not, do your homework! You cannot truly love somebody else if it's not working for yourself! Second point, do you really trust the person you want to start the relationship? Because, if not, do your homework! Trust is the most important basis of every relationship, and even more if it is about a romantic relationship! Third thought is - can you talk with that person about _anything_? Because, if not... it will be a hard time when things don't work as you expected. Lastly, do not confuse yourself by mixing up ""romantic relationship"" and ""ownership"" - nobody can own a human being! If you think you could change your partners character, or that she/he just needs to accustom to your behaviour, than it is about owning/manipulating somebody and you should stop it (and leave the relationship). The person of your desire should feel completely free for themself when they will spend time with you - and still they should want to spend time with you (because you let them feel free, _completely_) -> if the person still desires you, thant it is about true love! 

Yes i've found all of that in my life and i feel like the happiest person on earth! <3"
Male,No,"John should move forward with it, at least as long as the risk of alienating his friend(s) is acceptable to him.  As for his family, if they respect him, then they will respect his choices.","Personality, common interests, life goals (children, job, relocation, etc.).  Obviously many of these can't be determined until after starting a relationship vs. pursuing."
Male,Maybe,"Oh Jesus Christ, I think about this everyday. So let me say this: If I was John? Then I'd be the very happiest person in the whole world. If I was mark however? I would become acholic.

If my family was racist then I'd just leave the for her. I wouldn't let my family control my life based on something so, so very silly and goofy.

Side note: The question above is a maybe, because I know I should disagree with it, but I also know that's it's how I would act in love and war. I don't know if that made any sense, I'm sorry.","That either of you are ready to be in love. If one of you or (god forbid) BOTH of you aren't ready for it, then something truly, truly beautiful can decompose into something that's truly, truly heartbreaking."
Other,No,"If John and Rebecca have mutual feelings for each other, then they should move forward with their relationship passionately regardless of outside opinions or factors.
","Does this person make you happy? Do you make this person happy? Do you want to spend the rest of your life with this person? If yes, proceed. If no or maybe, then remain friends but pursue your life spark!"
Male,No,"The person you decide to share a life with is the most important person in your life. From the description I can only tell that John's family and his friend are a toxic environment. So, of course John should try to begin a relationship. There's no guarantee that it will be a succeded relationship but at least he should try. He already looks like a person who thinks wider than his family as he can look at Rebecca not through the prejudice, and he has more empathy than his friend who doesn't think about his feelings. If there is some healthy ground in John's relations with his friend and his family they will work on their bond. If not, those are toxic relations that supress him. ","Well, there are many things but mostly they depend on the person's sensitivity. There are people who would be traumatised by the pursuing in the failed romantic relationship. But there are people who would go through them without a permament damage. But in general it's all about self-care and self-safety. You need to feel safe in the relationship. Any situation when a person feels uncomfortable shouldn't be ignored. A romantic relationship should be equal -if the partner doesn't make you feel safe, it's probably the wrong partner."
Male,No,"From my understanding, this quote means that when people are in love or when they are fighting in a war, they can do anything to win. So for me, I've to disagree with this, due to the fact that there are some things that are never okay to do, even if you are in love or fighting in a war.",Happiness and Security 
Male,No,John should pursue the relationship,"Common attraction, similar interests"
Other,No,"John is in a tought spot, but regardless about what his family or what his friend will think, he should persue his desires, because nobody knows what future stores for us. Maybe his friends and family will ok with it, maybe not, but all that matter is John's own fellings, because it's his life after all.","A bit of the apperence of the person, but mostly, what matter the most, is the person personallity. Seeing if all of the personallity, the good part and the bad part, compliment you own person, if it's fit your own life style."
Female,No,Rebecca should stay with the Man what she wants,"Love , response, happiness,"
Male,Maybe,Il mondo è colorato di suo ma sembra solo vanità.,Non stare a considerare troppo...
Male,Maybe,"John should propose to Rebecca, but it’d depends based on the strength of the friendship with Mark. Did Mark talked to John about this? And also Rebecca has feelings for John, either way the result will be Rebecca staiying with John","if pursuing, connections of that someone else to your personal life, the kind of boundaries set at the beginning, and also the unexpectancy of the human nature and life. But it’d also bring an ethical and moral dilemma about the orginal partner’s feelings, the grudge that comes with regretting your decision, or the frustration that will naturally comes into the second relationship, for being treated as a “second”"
Female,No,"If that’s how John feels, he can tell her how he feels. I don’t think he should let his family stop him, it is his life and if he chooses to be with someone he likes, he can go for it. As for his friends, I think he should at least say something to them, to let them know he plans to ask Rebecca out. That way they don’t end up surprised. If they were really his friends, they would let John date her. ","Trust, honesty, fairness, boundaries, kindness and loyalty I feel like are the biggest ones. Personally I’ve never been in one but I think a relationship should include these things so that both sides would be fair to each other and they support each other. Without these, there would be problems within a relationship and it wouldn’t be good for the mental health overall. "
Prefer not to say,Yes,"Only 2 big thoughts really.
1. Mark can feel envious, in fact it's totally normal given the circumstances but if he were a good friend he wouldn't let jealousy get in the way of being happy for his friend
2. If John's family is not approving of Rebecca due to her skin color, John should examine and recognize that his family may not be worth his own happiness with his own life choices. Perhaps John would be better off cutting them off.","They should first and foremost see if they are attracted to the other person physically. If not, it's not the end of the world but it's a baseline thing for most people. They should have something in common, they don't have to, but it's easier to start conversations with someone you have similar ground with, it's also easier to be interested while the other is talking if they're talking about something you care about yourself. They should consider how the relationship will impact their other relationships, familial or otherwise, and weigh pros and cons. They should also see if the other person is willing to communicate and solve problems in a good way, and see if the other person has any habits or things they may not like. Overall it's very complicated, but those are my first thoughts."
Male,Maybe,"i believe John should seek his happiness, if his family or friends get in his way, that's just to say that they will not care about John",if the other person can make him happy or not
